
 UAE Trade Oil |  date and time: Wed Jul 29, 2020 8:13 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29954604,"poolName":"Retention Finq External BI HCMC","date":"2020-07-29T07:13:57.572Z"}
 UAE-Testimonial |  date and time: Wed Jul 29, 2020 8:26 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29954624,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-07-29T07:26:47.653Z"}
 UAE Trade Oil |  date and time: Wed Jul 29, 2020 8:54 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29954673,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-07-29T07:55:18.132Z"}
 UAE-Testimonial |  date and time: Wed Jul 29, 2020 15:36 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29957106,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-07-29T14:36:40.720Z"}
 UAE-Testimonial |  date and time: Mon Aug 03, 2020 10:55 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29965371,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-08-03T09:55:50.254Z"}
 UAE-Testimonial |  date and time: Mon Aug 03, 2020 13:31 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29965753,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-08-03T12:31:37.520Z"}
 UAE Trade Gold |  date and time: Thu Aug 13, 2020 8:59 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29991143,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-08-13T08:00:06.229Z"}
 UAE Trade Gold |  date and time: Mon Aug 17, 2020 4:02 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30000650,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-08-17T03:03:21.847Z"}
 UAE-Testimonial |  date and time: Fri Oct 09, 2020 20:34 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30185038,"poolName":"Sales Finq Internal MISC Desk","date":"2020-10-09T19:35:28.777Z"}
 UAE-Testimonial |  date and time: Fri Oct 09, 2020 22:26 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30185256,"poolName":"Sales Finq Internal MISC Desk","date":"2020-10-09T21:27:21.787Z"}
 UAE-Testimonial |  date and time: Sat Oct 10, 2020 17:12 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30186479,"poolName":"Sales Finq Internal MISC Desk","date":"2020-10-10T16:13:33.861Z"}
